Nome;Quantidade;Lote;UltimaDataEntrada;UltimaDataSaida;PosicaoEstoque;Validade;Valor
Porta Fusível;286;L6592;2023-11-13;2024-01-12;A14-B2;2025-03-19;2.50
Ventilador Interno;349;L1953;2023-07-26;2024-07-14;A3-B10;2025-04-30;85.00
Tampa de Motor;119;L2043;2024-07-11;2024-09-30;A18-B5;2025-07-16;45.00
Dissipador de Calor;486;L1320;2024-09-06;2024-01-27;A4-B7;2026-11-26;12.00
Controle Remoto;27;L8275;2024-03-09;2023-12-22;A19-B6;2025-06-27;35.00
Vedação de Borracha;52;L5009;2024-01-16;2023-12-03;A3-B7;2026-06-25;3.00
Hélice;129;L1714;2023-05-18;2023-02-05;A7-B6;2026-10-24;25.00
Chapa Metálica;139;L3971;2024-01-13;2023-01-20;A20-B6;2025-11-21;60.00
Eixo Metálico;340;L4534;2023-07-11;2023-08-04;A5-B9;2026-08-20;15.00
Ventilador Interno;497;L6498;2023-02-09;2023-06-10;A12-B3;2026-06-27;90.00
Base Plástica;446;L9811;2023-12-31;2023-04-17;A9-B6;2025-08-01;10.00
Suporte de Parede;228;L2931;2024-10-18;2024-03-29;A8-B9;2026-11-02;20.00
Pintura Eletrostática;254;L4273;2023-06-12;2024-09-17;A9-B5;2026-06-15;8.00
LED Indicador;336;L1401;2023-06-30;2023-12-28;A9-B9;2026-05-11;5.00
Painel de Controle;317;L4739;2024-02-11;2023-03-23;A14-B7;2026-08-15;150.00
Plástico ABS;98;L1933;2023-10-06;2023-06-06;A3-B1;2026-08-07;7.50
Embalagem Plástica;362;L4951;2024-04-25;2024-11-07;A14-B2;2025-09-16;2.00
Motor Elétrico;211;L2133;2023-04-30;2024-04-14;A1-B8;2026-09-22;180.00
Chave Seletora;341;L3175;2024-11-21;2024-10-04;A3-B3;2025-01-06;12.00
Sensor de Temperatura;440;L5440;2024-09-07;2023-06-06;A8-B4;2025-10-25;50.00
Ventoinha Interna;364;L9562;2024-02-09;2024-09-14;A4-B10;2026-12-12;75.00
Interruptor;213;L4385;2024-12-19;2023-06-03;A20-B3;2026-09-24;8.00
Filtro de Ar;22;L7715;2023-12-21;2023-07-31;A8-B6;2025-05-07;35.00
Transformador;264;L6280;2024-01-25;2023-01-31;A9-B3;2026-03-11;220.00
Capacitor;94;L8839;2023-12-06;2023-09-29;A17-B1;2026-08-28;6.00
